FromPartId,NeedCount,ToPartId
P_SCYTHE_OUTERRING_ROTARYBLADE_II,2,P_SCYTHE_OUTERRING_ROTARYBLADE_III
P_SCYTHE_MOVESTACK_GRIP_I,2,P_SCYTHE_MOVESTACK_GRIP_II
P_SCYTHE_MOVESTACK_GRIP_II,2,P_SCYTHE_MOVESTACK_GRIP_III
P_SCYTHE_GROUPINVULN_GRIP_I,2,P_SCYTHE_GROUPINVULN_GRIP_II
P_SCYTHE_GROUPINVULN_GRIP_II,2,P_SCYTHE_GROUPINVULN_GRIP_III
P_SCYTHE_ATTACKSTACK_GRIP_I,2,P_SCYTHE_ATTACKSTACK_GRIP_II
P_SCYTHE_ATTACKSTACK_GRIP_II,2,P_SCYTHE_ATTACKSTACK_GRIP_III
P_LONGSWORD_NARROWWIDE_SWORDBLADE_I,2,P_LONGSWORD_NARROWWIDE_SWORDBLADE_II
P_LONGSWORD_NARROWWIDE_SWORDBLADE_II,2,P_LONGSWORD_NARROWWIDE_SWORDBLADE_III
P_LONGSWORD_GROUPGROWTH_SWORDBLADE_I,2,P_LONGSWORD_GROUPGROWTH_SWORDBLADE_II
P_LONGSWORD_GROUPGROWTH_SWORDBLADE_II,2,P_LONGSWORD_GROUPGROWTH_SWORDBLADE_III
P_LONGSWORD_KILLHEAL_SWORDBLADE_I,2,P_LONGSWORD_KILLHEAL_SWORDBLADE_II
P_LONGSWORD_KILLHEAL_SWORDBLADE_II,2,P_LONGSWORD_KILLHEAL_SWORDBLADE_III
P_LONGSWORD_HITSHARD_SWORDBLADE_I,2,P_LONGSWORD_HITSHARD_SWORDBLADE_II
P_LONGSWORD_HITSHARD_SWORDBLADE_II,2,P_LONGSWORD_HITSHARD_SWORDBLADE_III
P_LONGSWORD_HASTE_GRIP_I,2,P_LONGSWORD_HASTE_GRIP_II
P_LONGSWORD_HASTE_GRIP_II,2,P_LONGSWORD_HASTE_GRIP_III
P_LONGSWORD_MOVESTACK_GRIP_I,2,P_LONGSWORD_MOVESTACK_GRIP_II
P_LONGSWORD_MOVESTACK_GRIP_II,2,P_LONGSWORD_MOVESTACK_GRIP_III
P_LONGSWORD_ATTACKSTACK_GRIP_I,2,P_LONGSWORD_ATTACKSTACK_GRIP_II
P_LONGSWORD_ATTACKSTACK_GRIP_II,2,P_LONGSWORD_ATTACKSTACK_GRIP_III
P_LONGSWORD_STUN_GRIP_I,2,P_LONGSWORD_STUN_GRIP_II
P_LONGSWORD_STUN_GRIP_II,2,P_LONGSWORD_STUN_GRIP_III
P_LONGSWORD_HEAVY_GRIP_I,2,P_LONGSWORD_HEAVY_GRIP_II
P_LONGSWORD_HEAVY_GRIP_II,2,P_LONGSWORD_HEAVY_GRIP_III
P_GUN_TRIPLESPREAD_MUZZLE_I,2,P_GUN_TRIPLESPREAD_MUZZLE_II
P_GUN_TRIPLESPREAD_MUZZLE_II,2,P_GUN_TRIPLESPREAD_MUZZLE_III
P_GUN_CHARGED_MUZZLE_I,2,P_GUN_CHARGED_MUZZLE_II
P_GUN_CHARGED_MUZZLE_II,2,P_GUN_CHARGED_MUZZLE_III
P_GUN_EXPLOSIVE_MUZZLE_I,2,P_GUN_EXPLOSIVE_MUZZLE_II
P_GUN_EXPLOSIVE_MUZZLE_II,2,P_GUN_EXPLOSIVE_MUZZLE_III
P_GUN_LIFESTEAL_GUNACTION_I,2,P_GUN_LIFESTEAL_GUNACTION_II
P_GUN_LIFESTEAL_GUNACTION_II,2,P_GUN_LIFESTEAL_GUNACTION_III
P_GUN_HITSHARD_GUNACTION_I,2,P_GUN_HITSHARD_GUNACTION_II
P_GUN_HITSHARD_GUNACTION_II,2,P_GUN_HITSHARD_GUNACTION_III
P_GUN_ATTACKSTACK_GUNACTION_I,2,P_GUN_ATTACKSTACK_GUNACTION_II
P_GUN_ATTACKSTACK_GUNACTION_II,2,P_GUN_ATTACKSTACK_GUNACTION_III
P_GUN_MOVESTACK_GUNACTION_I,2,P_GUN_MOVESTACK_GUNACTION_II
P_GUN_MOVESTACK_GUNACTION_II,2,P_GUN_MOVESTACK_GUNACTION_III
