Id,PartId,Order,Trigger,EffectKind,Target,ValueOp,Value,BehaviorId,FormulaId,AttackPatternId,ParamName,ParamValue,DurationSeconds,CooldownSeconds,StackPolicy,Enabled,DisabledReason,SourceSheet,SourceRow
PE_LONGSWORD_HEAVY_GRIP_1,P_LONGSWORD_HEAVY_GRIP,1,OnEquip,StatModifier,AttackSpeed,Add,-0.3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,47
PE_LONGSWORD_HEAVY_GRIP_2,P_LONGSWORD_HEAVY_GRIP,2,OnEquip,StatModifier,DamageCoefficient,Multiply,1.5,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,47
PE_GUN_TRIPLESPREAD_MUZZLE_1,P_GUN_TRIPLESPREAD_MUZZLE,1,OnEquip,StatModifier,ProjectileCount,Override,3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,48
PE_GUN_TRIPLESPREAD_MUZZLE_2,P_GUN_TRIPLESPREAD_MUZZLE,2,OnEquip,StatModifier,ConcentrationDegrees,Override,60,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,48
PE_BOW_SPLIT_ARROWHEAD_1,P_BOW_SPLIT_ARROWHEAD,1,OnHit,UniqueBehavior,RuntimeBehavior,Multiply,0.5,Part.ProjectileSplitOnHit,None,None,MaxChildren,3,0,0,Unique,true,,武器插槽C,16
PE_BOW_EXPLOSIVE_ARROWHEAD_1,P_BOW_EXPLOSIVE_ARROWHEAD,1,OnEquip,StatModifier,ExplosionRadius,Override,100,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,17
PE_BOW_PIERCING_ARROWHEAD_1,P_BOW_PIERCING_ARROWHEAD,1,OnCriticalHit,UniqueBehavior,RuntimeBehavior,Override,1,Part.ProjectilePierceOnCritical,None,None,None,0,0,0,Unique,true,,武器插槽C,18
PE_BOW_CRITBLEED_ARROWHEAD_1,P_BOW_CRITBLEED_ARROWHEAD,1,OnCriticalHit,UniqueBehavior,RuntimeBehavior,Add,0.005,Part.ApplyBleedOnCritical,None,None,None,0,3,0,Stackable,false,策划确认不想要,武器插槽C,19
PE_BOW_MULTISHOT_ARROWHEAD_1,P_BOW_MULTISHOT_ARROWHEAD,1,OnEquip,StatModifier,ProjectileCount,Override,3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,20
PE_BOW_MULTISHOT_ARROWHEAD_2,P_BOW_MULTISHOT_ARROWHEAD,2,OnEquip,StatModifier,ConcentrationDegrees,Override,60,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,20
PE_BOW_KILLSHARD_ARROWHEAD_1,P_BOW_KILLSHARD_ARROWHEAD,1,OnKill,UniqueBehavior,RuntimeBehavior,Add,1,Part.DropShardOnKill,None,None,ShardCount,1,0,0,Unique,true,,武器插槽C,21
PE_BOW_KILLHASTE_BOWSTRING_1,P_BOW_KILLHASTE_BOWSTRING,1,OnKill,UniqueBehavior,RuntimeBehavior,Add,0.2,Part.MoveSpeedOnKill,None,None,None,0,5,0,IndependentTimed,true,,武器插槽C,24
PE_BOW_COMBOHASTE_BOWSTRING_1,P_BOW_COMBOHASTE_BOWSTRING,1,OnAttack,UniqueBehavior,RuntimeBehavior,Add,0.04,Part.AttackMoveSpeedOnAttack,None,None,MaxStacks,5,5,0,IndependentTimed,true,,武器插槽C,25
PE_SCYTHE_GROUPGROWTH_ROTARYBLADE_1,P_SCYTHE_GROUPGROWTH_ROTARYBLADE,1,OnAttackResolved,UniqueBehavior,RuntimeBehavior,Add,0.02,Part.RangeOnGroupHit,None,None,GroupThreshold,4,5,0,IndependentTimed,true,,武器插槽C,26
PE_SCYTHE_LIFESTEAL_ROTARYBLADE_1,P_SCYTHE_LIFESTEAL_ROTARYBLADE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.HealOnHit,None,None,None,0,0,0,Stackable,true,,武器插槽C,27
PE_SCYTHE_STUN_ROTARYBLADE_1,P_SCYTHE_STUN_ROTARYBLADE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.2,Part.StunOnHit,None,None,Chance,0.2,1,0,NoStack,true,,武器插槽C,29
PE_SCYTHE_BLEED_ROTARYBLADE_1,P_SCYTHE_BLEED_ROTARYBLADE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.005,Part.BleedEveryTargetHits,None,None,HitThreshold,3,3,0,Stackable,true,,武器插槽C,30
PE_SCYTHE_OUTERRING_ROTARYBLADE_1,P_SCYTHE_OUTERRING_ROTARYBLADE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.4,Part.OuterRingDamage,None,None,OuterRingFraction,0.5,0,0,Unique,true,,武器插槽C,31
PE_SCYTHE_MOVESTACK_GRIP_1,P_SCYTHE_MOVESTACK_GRIP,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.MoveSpeedPerHit,None,None,MaxStacks,30,5,0,IndependentTimed,true,,武器插槽C,32
PE_SCYTHE_GROUPINVULN_GRIP_1,P_SCYTHE_GROUPINVULN_GRIP,1,OnEquip,StatModifier,AttackSpeed,Add,-0.5,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,33
PE_SCYTHE_GROUPINVULN_GRIP_2,P_SCYTHE_GROUPINVULN_GRIP,2,OnAttackResolved,UniqueBehavior,RuntimeBehavior,Override,1,Part.InvulnerableOnGroupHit,None,None,GroupThreshold,4,0.5,0,Unique,true,,武器插槽C,33
PE_SCYTHE_ATTACKSTACK_GRIP_1,P_SCYTHE_ATTACKSTACK_GRIP,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.AttackSpeedPerHit,None,None,MaxStacks,30,5,0,IndependentTimed,true,,武器插槽C,34
PE_SCYTHE_THROWRECALL_GRIP_1,P_SCYTHE_THROWRECALL_GRIP,1,OnActiveAttack,UniqueBehavior,RuntimeBehavior,Multiply,0.6,Part.ScytheThrowRecall,None,None,MaxRangeCm,500,0,0,Unique,true,,武器插槽C,35
PE_SCYTHE_THROWRECALL_GRIP_2,P_SCYTHE_THROWRECALL_GRIP,2,OnActiveAttack,UniqueBehavior,RuntimeBehavior,Multiply,0.2,Part.ScytheThrowRecall,None,None,StationaryDamageMultiplier,0.2,0,0,Unique,true,,武器插槽C,35
PE_LONGSWORD_GROUPGROWTH_SWORDBLADE_1,P_LONGSWORD_GROUPGROWTH_SWORDBLADE,1,OnAttackResolved,UniqueBehavior,RuntimeBehavior,Add,0.02,Part.RangeOnGroupHit,None,None,GroupThreshold,4,5,0,IndependentTimed,true,,武器插槽C,38
PE_LONGSWORD_HITSHARD_SWORDBLADE_1,P_LONGSWORD_HITSHARD_SWORDBLADE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,1,Part.DropShardEveryHits,None,None,HitThreshold,5,0,0,Stackable,true,,武器插槽C,40
PE_LONGSWORD_CRITBLEED_SWORDBLADE_1,P_LONGSWORD_CRITBLEED_SWORDBLADE,1,OnCriticalHit,UniqueBehavior,RuntimeBehavior,Add,0.005,Part.ApplyBleedOnCritical,None,None,None,0,3,0,Stackable,true,,武器插槽C,41
PE_LONGSWORD_METEOR_SWORDBLADE_1,P_LONGSWORD_METEOR_SWORDBLADE,1,OnAttackResolved,UniqueBehavior,RuntimeBehavior,Multiply,1,Part.MeteorOnGroupHit,None,None,GroupThreshold,7,0,0,Unique,true,,武器插槽C,42
PE_LONGSWORD_METEOR_SWORDBLADE_2,P_LONGSWORD_METEOR_SWORDBLADE,2,OnAttackResolved,UniqueBehavior,RuntimeBehavior,Override,1,Part.MeteorOnGroupHit,None,None,ExplosionRadiusCm,150,0,0,Unique,true,,武器插槽C,42
PE_LONGSWORD_MOVESTACK_GRIP_1,P_LONGSWORD_MOVESTACK_GRIP,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.MoveSpeedPerHit,None,None,MaxStacks,30,5,0,IndependentTimed,true,,武器插槽C,44
PE_LONGSWORD_ATTACKSTACK_GRIP_1,P_LONGSWORD_ATTACKSTACK_GRIP,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.AttackSpeedPerHit,None,None,MaxStacks,30,5,0,IndependentTimed,true,,武器插槽C,45
PE_LONGSWORD_STUN_GRIP_1,P_LONGSWORD_STUN_GRIP,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.2,Part.StunOnHit,None,None,Chance,0.2,1,0,NoStack,true,,武器插槽C,46
PE_GUN_CHARGED_MUZZLE_1,P_GUN_CHARGED_MUZZLE,1,OnEquip,StatModifier,AttackSpeed,Add,-5,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,49
PE_GUN_CHARGED_MUZZLE_2,P_GUN_CHARGED_MUZZLE,2,OnEquip,StatModifier,DamageCoefficient,Multiply,2.8,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,49
PE_GUN_RAPID_MUZZLE_1,P_GUN_RAPID_MUZZLE,1,OnEquip,StatModifier,AttackSpeed,Add,0.5,Part.StatModifier,None,None,None,0,0,0,Unique,false,策划确认不想要,武器插槽C,50
PE_GUN_EXPLOSIVE_MUZZLE_1,P_GUN_EXPLOSIVE_MUZZLE,1,OnEquip,StatModifier,ExplosionRadius,Override,100,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,51
PE_GUN_PIERCING_MUZZLE_1,P_GUN_PIERCING_MUZZLE,1,OnCriticalHit,UniqueBehavior,RuntimeBehavior,Override,1,Part.ProjectilePierceOnCritical,None,None,None,0,0,0,Unique,true,,武器插槽C,52
PE_GUN_BLEED_MUZZLE_1,P_GUN_BLEED_MUZZLE,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.005,Part.ApplyBleedOnHitChance,None,None,Chance,0.3,3,0,Stackable,true,,武器插槽C,53
PE_GUN_LIFESTEAL_GUNACTION_1,P_GUN_LIFESTEAL_GUNACTION,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.HealOnHit,None,None,None,0,0,0,Stackable,true,,武器插槽C,54
PE_GUN_HITSHARD_GUNACTION_1,P_GUN_HITSHARD_GUNACTION,1,OnHit,UniqueBehavior,RuntimeBehavior,Add,1,Part.DropShardEveryHits,None,None,HitThreshold,5,0,0,Stackable,true,,武器插槽C,55
PE_GUN_ATTACKSTACK_GUNACTION_1,P_GUN_ATTACKSTACK_GUNACTION,1,OnAttack,UniqueBehavior,RuntimeBehavior,Add,0.01,Part.AttackSpeedOnAttack,None,None,MaxStacks,30,5,0,IndependentTimed,true,,武器插槽C,56
