EventId,VariantId,AssetPath,Bus,EventType,Spatial3D,BaseVolume,PitchMin,PitchMax,CooldownSeconds,MaxConcurrency,Priority,PausePolicy,AttenuationMin,AttenuationMax,StartTimeSeconds
Combat.Hit,Flame,/Game/ReEcho/Audio/Variants/CombatHit/Combat_Hit_Flame.Combat_Hit_Flame,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Hit,Lightning,/Game/ReEcho/Audio/Variants/CombatHit/Combat_Hit_Lightning.Combat_Hit_Lightning,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Hit,Grass,/Game/ReEcho/Audio/Variants/CombatHit/Combat_Hit_Grass.Combat_Hit_Grass,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Hit,Water,/Game/ReEcho/Audio/Variants/CombatHit/Combat_Hit_Water.Combat_Hit_Water,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Block,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Hurt,,/Game/ReEcho/Audio/Combat/Combat_Hurt.Combat_Hurt,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Kill,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Death,,/Game/ReEcho/Audio/Combat/Combat_Death.Combat_Death,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,3.45
Enemy.Spawn,,/Game/ReEcho/Audio/Enemy/Enemy_Spawn.Enemy_Spawn,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Enemy.Attack,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Enemy.Death,,/Game/ReEcho/Audio/Enemy/Enemy_Death.Enemy_Death,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Boss.Spawn,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Boss.Attack,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Boss.Death,,/Game/ReEcho/Audio/Boss/Boss_Death.Boss_Death,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Echo.Spawn,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Echo.Attack,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Echo.End,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
CameraMove,,/Game/ReEcho/Audio/Flow/CameraMove.CameraMove,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
Revive,,/Game/ReEcho/Audio/UI/UI_Cancel.UI_Cancel,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
Combat.Reaction,Reaction.Burn,/Game/ReEcho/Audio/Variants/CombatHit/Combat_Hit_Flame.Combat_Hit_Flame,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Reaction,Reaction.Vaporize,/Game/ReEcho/Audio/Variants/CombatReaction/Combat_Reaction_Vaporize.Combat_Reaction_Vaporize,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,1.25
Combat.Reaction,Reaction.Growth,/Game/ReEcho/Audio/Variants/CombatReaction/Combat_Reaction_Growth.Combat_Reaction_Growth,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Reaction,Reaction.Conduct,/Game/ReEcho/Audio/Variants/CombatReaction/Combat_Reaction_Conduct.Combat_Reaction_Conduct,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Reaction,Reaction.Enhance,/Game/ReEcho/Audio/Variants/CombatReaction/Combat_Reaction_Enhance.Combat_Reaction_Enhance,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Item.Pickup,,/Game/ReEcho/Audio/Flow/Item_Pickup.Item_Pickup,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
UI.CardReveal,,/Game/ReEcho/Audio/UI/UI_CardReveal.UI_CardReveal,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
UI.Equip,,/Game/ReEcho/Audio/UI/UI_RuneEquip.UI_RuneEquip,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0.65
UI.Unequip,,/Game/ReEcho/Audio/UI/UI_RuneEquip.UI_RuneEquip,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0.65
Flow.Victory,,/Game/ReEcho/Audio/Boss/Boss_Death.Boss_Death,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
